region,forest_area_1990,land_area_1990_sqkm,forest_area_2016,land_area_2016_sqkm,percent_forest_1990,percent_forest_2016
East Asia & Pacific,6280252.8421379,24364639.971000005,6421326.3921158,24361338.446200002,25.78,26.36
World,41282694.9,127328467.43959999,39958245.9,127354641.43569998,32.42,31.38
Middle East & North Africa,199292.595698698,11226230.006599998,232131.004009593,11223465.984499998,1.78,2.07
Europe & Central Asia,10199847.602310268,27357215.041099995,10438609.30732392,27440113.6114,37.28,38.04
Latin America & Caribbean,10242341.796304759,20071224.450899992,9250585.884135248,20039364.446499992,51.03,46.16
North America,6507240,18252523.9904,6573934.063,18240983.9864,35.65,36.04
Sub-Saharan Africa,6515615.1999664,21241391.086999997,6115290.9152861,21242361.067900002,30.67,28.79
South Asia,789187.09961,4779833.0601,835310.4846399999,4771604.034400001,16.51,17.51
